17 44 76 108 1687 80 1
10 30 84 123 1687 80 1
8 19 99 125 1623 100 1
13 45 99 126 1353 290 1
60 260 37 126 1353 185 1
20 87 64 127 1387 40 1
230 432 23 199 1687 150 1
11 20 124 172 1687 150 1
15 26 53 148 1687 150 1
46 167 53 143 1687 150 1
13 48 76 143 1687 150 1
42 69 97 119 1687 150 1
15 54 102 158 1687 150 1
22 60 62 111 1687 150 1
30 68 36 133 1687 150 1
59 133 50 134 1687 150 1
167 282 11 143 1687 150 1
38 76 79 134 1687 150 1
8 25 92 126 1687 150 1
15 27 96 141 1687 200 1
18 34 87 141 1687 200 1
13 29 101 134 1687 200 1
10 19 107 150 1687 200 1
15 39 92 141 1687 200 1
17 35 123 148 1687 200 1
9 23 77 111 1373 40 1
19 39 75 118 1373 40 1
9 18 97 119 1627 40 1
92 253 33 140 1373 40 1
15 38 51 124 1373 40 1
9 33 99 132 1373 40 1
19 63 47 125 1387 40 1
9 24 80 119 1387 40 1
10 28 70 111 1387 50 1
29 62 15 119 1387 50 1
16 43 55 127 1387 50 1
15 39 55 125 1353 70 1
34 72 77 135 1353 70 1
36 48 73 100 1333 40 1
22 23 79 126 1633 250 1
35 54 90 132 1687 200 1
30 36 65 124 1353 70 1
20 26 66 124 1627 40 1
30 50 88 116 1627 40 1
16 21 96 132 1690 60 1
43 49 67 110 1690 60 1
12 13 85 116 1686 60 1
11 17 91 124 1682 60 1
14 12 67 100 1688 60 1
9 11 95 125 1690 60 1
9 13 100 132 1690 60 1
47 66 51 109 1690 60 1
20 27 72 109 1688 60 1
20 24 69 108 1650 69 1
20 34 95 125 1648 69 1
20 27 88 126 1646 69 1
14 7 120 149 1650 69 1
25 30 85 119 1650 100 1
10 12 94 132 1710 100 1
10 15 99 123 1360 100 1
10 10 81 111 1360 100 1
10 11 100 132 1362 120 1
14 11 84 126 1362 120 1
9 12 87 118 1632 100 1
9 11 99 127 1632 100 1
43 60 77 118 1632 100 1
13 20 84 116 1630 100 1
8 13 95 116 1654 100 1
15 14 73 94 1656 100 1
12 9 71 101 1656 100 1
14 13 77 100 1658 100 1
21 28 81 116 1648 100 1
15 20 99 119 1656 100 1
17 18 58 93 1694 211 1
9 12 62 92 1694 211 1
8 6 80 116 1692 143 1
24 31 90 143 1692 143 1
20 23 101 141 1352 80 1
165 285 64 140 1400 40 1
134 201 16 133 1380 40 1
142 185 47 126 1666 40 1
13 17 97 126 1666 40 1
11 7 89 111 1364 60 1
481 604 21 141 1362 60 1
18 16 55 97 1360 200 1
14 17 94 140 1392 220 1
13 20 106 128 1392 220 1
19 32 78 127 1362 40 1
25 36 92 132 1364 40 1
36 39 68 135 1364 40 1
36 52 63 132 1364 40 1
45 69 44 124 1362 40 1
44 67 72 124 1360 40 1
18 22 49 109 1364 100 1
9 7 87 109 1366 100 1
28 29 91 126 1358 40 1
18 26 103 126 1690 70 1
29 43 99 125 1690 70 1
15 19 100 127 1694 70 1
11 16 95 127 1692 70 1
8 12 111 135 1692 70 1
13 21 89 111 1690 70 1
23 28 49 126 1626 120 1
57 103 66 133 1362 175 1
32 57 46 108 1632 125 1
17 15 71 127 1634 125 1
146 197 19 141 1634 125 1
22 28 89 140 1632 125 1
22 26 87 134 1626 125 1
16 17 84 127 1358 40 1
24 32 84 126 1350 50 1
26 35 68 125 1354 50 1
24 28 23 94 1698 90 1
24 32 90 125 1696 90 1
29 84 30 93 1696 90 1
33 70 45 95 1698 90 1
12 30 38 101 1698 90 1
35 45 80 124 1700 90 1
13 20 89 134 1698 90 1
63 86 88 124 1698 90 1
78 98 91 126 1696 90 1
37 42 86 124 1696 90 1
24 33 90 119 1698 90 1
26 30 64 126 1696 90 1
20 27 94 125 1694 90 1
56 70 77 125 1696 90 1
59 87 62 127 1696 90 1
28 32 77 127 1698 90 1
65 103 68 127 1698 90 1
22 31 74 126 1698 90 1
35 45 85 127 1700 90 1
50 89 63 127 1698 90 1
37 54 62 125 1698 90 1
24 32 81 126 1698 90 1
17 23 84 124 1688 70 1
251 427 30 133 1688 70 1
15 18 106 127 1356 40 1
18 26 80 127 1362 40 1
18 23 79 127 1698 60 1
14 20 110 134 1696 60 1
213 359 28 126 1364 80 1
15 50 65 126 1360 100 1
26 31 66 125 1358 40 1
16 18 89 126 1358 40 1
14 14 84 135 1362 40 1
221 357 37 133 1360 40 1
33 53 49 127 1358 40 1
20 33 68 126 1358 40 1
43 61 78 126 1360 40 1
27 31 75 125 1360 40 1
24 28 102 143 1360 70 1
19 19 99 143 1358 70 1
26 26 97 143 1358 70 1
21 34 91 151 1356 70 1
47 56 106 156 1358 70 1
18 24 120 150 1358 70 1
20 22 103 156 1358 70 1
18 21 101 156 1358 70 1
33 17 116 143 1708 100 2
13 6 108 132 1354 70 2
33 31 100 132 1354 70 2
41 56 71 117 1354 70 2
19 11 99 118 1354 70 2
20 15 109 140 1354 70 2
143 172 80 116 1354 70 2
201 161 96 127 1354 70 2
90 54 104 135 1354 70 2
54 59 92 127 1356 70 2
53 56 79 118 1352 70 2
33 36 98 125 1354 70 2
16 23 46 86 1356 70 2
35 42 47 95 1356 70 2
12 13 86 110 1356 70 2
16 19 109 126 1354 70 2
17 15 97 132 1354 70 2
49 42 78 101 1356 70 2
22 21 105 127 1358 70 2
14 14 98 125 1358 70 2
38 21 106 134 1354 70 2
28 19 89 111 1354 70 2
15 12 70 93 1354 70 2
15 11 36 84 1356 70 2
23 12 104 127 1356 70 2
94 94 94 124 1356 70 2
748 403 93 143 1358 70 2
65 40 84 111 1356 70 2
13 12 85 103 1354 70 2
19 13 109 132 1354 70 2
12 7 101 124 1356 70 2
50 56 33 84 1354 70 2
28 16 95 118 1356 70 2
24 12 95 119 1356 70 2
17 17 90 116 1356 70 2
28 25 105 126 1356 70 2
18 20 97 124 1352 70 2
106 98 77 118 1356 70 2
21 27 40 78 1356 70 2
58 50 97 134 1358 70 2
23 17 87 111 1356 70 2
15 10 113 135 1358 70 2
15 20 97 124 1356 70 2
93 120 51 93 1358 70 2
197 207 22 86 1358 70 2
106 103 29 84 1356 70 2
